team,win,bot_support_win_mean,bot_support_win_std,bot_support_win_skew,bot_support_level,bot_support_hot_streak,bot_carry_win_mean,bot_carry_win_std,bot_carry_win_skew,bot_carry_level,bot_carry_hot_streak,mid_win_mean,mid_win_std,mid_win_skew,mid_level,mid_hot_streak,jungle_win_mean,jungle_win_std,jungle_win_skew,jungle_level,jungle_hot_streak,top_win_mean,top_win_std,top_win_skew,top_level,top_hot_streak
100,Win,0.4876644736842105,0.5000534680097013,0.049357128425081456,301.0,0.0,0.4781849912739965,0.4999603347744408,0.08734320682588613,382,0,0.46808510638297873,0.5043749394606821,0.12792042981336618,114.0,0.0,0.5,0.5019646441105269,0.0,231.0,0.0,0.5245901639344263,0.5035393853198635,-0.09847982464479213,153.0,1.0
200,Fail,0.5188118811881188,0.5001414227153157,-0.07530083958401142,166.0,0.0,0.41935483870967744,0.4950530306361322,0.32686022523030633,52,0,0.48322147651006714,0.5014037975367674,0.06715191366878162,74.0,0.0,0.5576923076923077,0.5015060275070905,-0.23232092779871,55.0,0.0,0.41304347826086957,0.49782134039886416,0.35320862855067814,265.0,0.0
100,Fail,0.4666666666666667,0.504524979109513,0.13363062095621214,209.0,0.0,0.4482758620689655,0.5061201788784758,0.20801257358446074,140,0,0.4815668202764977,0.5002367443267473,0.0737828761457144,98.0,0.0,0.48214285714285715,0.5019267894130596,0.07147416898918613,42.0,0.0,0.49159327461969576,0.5001295740627312,0.033631655559336525,416.0,0.0
200,Win,0.32727272727272727,0.4713652026775482,0.7362350453775224,47.0,0.0,0.5,0.508000508000762,0.0,171,1,0.4782608695652174,0.50025271672071,0.08703882797784881,116.0,0.0,0.4585987261146497,0.4998774960167819,0.166175747583597,118.0,0.0,0.47193347193347196,0.4997313900801731,0.11244340211460949,289.0,0.0
100,Fail,0.53125,0.5070073486774164,-0.1252448582170299,58.0,0.0,0.5162037037037037,0.5003167768544525,-0.06484887720476266,274,0,0.5105708245243129,0.5001526663805497,-0.04229275093481016,248.0,0.0,0.5004009623095429,0.5002004409781857,-0.0016038497538760662,364.0,0.0,0.6470588235294118,0.48024455039979497,-0.615457454896664,80.0,0.0
200,Win,0.5231316725978647,0.5003557453313802,-0.09262586692428021,204.0,0.0,0.4807121661721068,0.5003707824017163,0.077208803219145,65,0,0.48161764705882354,0.49977682646132005,0.07357915497607018,475.0,0.0,0.5111111111111111,0.5055250296034367,-0.044455422447438414,293.0,0.0,0.46875,0.499732834605558,0.1252448582170299,162.0,0.0
100,Fail,0.5011792452830188,0.5002936808763563,-0.00471699425118142,202.0,0.0,0.4914914914914915,0.5001780020604345,0.03403896287305258,274,0,0.5426008968609866,0.4993026284468837,-0.17102548469597115,124.0,0.0,0.49038461538461536,0.5023284097254765,0.03846865240564106,143.0,0.0,0.23529411764705882,0.4372373160976031,1.2480754415067654,129.0,0.0
200,Win,0.48517940717628705,0.500170602719985,0.05930843121063704,211.0,0.0,0.4925373134328358,0.5004113247441629,0.02985407170132675,120,0,0.26666666666666666,0.4577377082170635,1.055289706022172,109.0,0.0,0.5588235294117647,0.5039947372613783,-0.23693955110363707,412.0,0.0,0.5100806451612904,0.5004030633463905,-0.0403307782578132,84.0,0.0
100,Fail,0.5050651230101303,0.5003365129466665,-0.020261531705477537,248.0,0.0,0.45,0.5104177855340404,0.20100756305184259,233,0,0.5,0.5222329678670935,0.0,39.0,0.0,0.4536082474226804,0.5004293689069464,0.18637095747658136,267.0,0.0,0.4911894273127753,0.5004738542904803,0.03524776347300335,137.0,0.0
200,Win,0.5233644859813084,0.5018041862802316,-0.09356014857063952,68.0,0.0,0.6173913043478261,0.48815098138329777,-0.48306798020104647,118,0,0.41025641025641024,0.4983102351129801,0.36490022459988114,237.0,0.0,0.4961915125136017,0.5002577443454097,0.015234391888821567,317.0,0.0,0.5135135135135135,0.5011737105351894,-0.05407380704358731,156.0,0.0
100,Win,0.5133779264214047,0.5002394344443943,-0.053530869839445015,149.0,1.0,0.48200312989045385,0.5000674499861423,0.07203415746357968,119,1,0.5060728744939271,0.5009782734211912,-0.02429328990536703,51.0,1.0,0.5060449050086355,0.5003957652253703,-0.024181387317300525,162.0,0.0,0.45454545454545453,0.5056498968474316,0.18257418583505525,58.0,0.0
200,Fail,0.4742268041237113,0.5019292676171829,0.10323001737691705,59.0,0.0,0.5112359550561798,0.5005772897781327,-0.04495517254119864,193,0,0.5244755244755245,0.5011559571738268,-0.09801960588196065,168.0,0.0,0.4186046511627907,0.4991687442297913,0.32998316455372195,250.0,0.0,0.5449438202247191,0.49938068672339453,-0.1805059849126435,296.0,0.0
